entity_id,entity_type,expected_classification,expected_match_target,notes
BNK000002,bank_row,messy_narration,setl_0001,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000003,bank_row,messy_narration,setl_0002,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000005,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000008,bank_row,messy_narration,setl_0006,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000009,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000010,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000013,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000014,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000015,bank_row,messy_narration,setl_0009,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000017,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000027,bank_row,messy_narration,setl_0020,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000028,bank_row,messy_narration,setl_0021,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
GAP_BEFORE_BNK000019,statement_gap,missing_bank_row,setl_0011,settlement paid but its statement line is absent; detectable only from the running balance gap
GAP_BEFORE_BNK000020,statement_gap,missing_bank_row,setl_0012,settlement paid but its statement line is absent; detectable only from the running balance gap
GAP_BEFORE_BNK000025,statement_gap,missing_bank_row,setl_0017,settlement paid but its statement line is absent; detectable only from the running balance gap
ORD4000,order,partial_refund,,partial refund of 4499.00 against 8999.00
ORD4001,order,clean,,matches 1:1 with its payment
ORD4002,order,clean,,matches 1:1 with its payment
ORD4003,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4004,order,missing_payment,,REAL BREAK: order marked paid but no gateway record exists
ORD4005,order,clean,,matches 1:1 with its payment
ORD4006,order,clean,,matches 1:1 with its payment
ORD4007,order,fee_mismatch,pay_000008,gateway fee exceeds rule for upi by 1.50
ORD4008,order,clean,,matches 1:1 with its payment
ORD4009,order,clean,,matches 1:1 with its payment
ORD4010,order,chargeback,,"chargeback reverses the sale in a LATER settlement period, plus a penalty fee"
ORD4011,order,clean,,matches 1:1 with its payment
ORD4012,order,failed_payment,pay_000013,payment attempt failed; no bank credit will ever exist
ORD4013,order,clean,,matches 1:1 with its payment
ORD4014,order,rounding_noise,pay_000015,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4015,order,clean,,matches 1:1 with its payment
ORD4016,order,clean,,matches 1:1 with its payment
ORD4017,order,clean,,matches 1:1 with its payment
ORD4018,order,failed_payment,pay_000019,payment attempt failed; no bank credit will ever exist
ORD4019,order,clean,,matches 1:1 with its payment
ORD4020,order,clean,,matches 1:1 with its payment
ORD4021,order,clean,,matches 1:1 with its payment
ORD4022,order,refund,pay_000023,full refund; net settlement contribution is negative
ORD4023,order,partial_refund,,partial refund of 375.00 against 750.99
ORD4024,order,clean,,matches 1:1 with its payment
ORD4025,order,clean,,matches 1:1 with its payment
ORD4026,order,rounding_noise,pay_000027,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4027,order,clean,,matches 1:1 with its payment
ORD4028,order,clean,,matches 1:1 with its payment
ORD4029,order,fee_mismatch,pay_000030,gateway fee exceeds rule for card by 2.25
ORD4030,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4031,order,clean,,matches 1:1 with its payment
ORD4032,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4033,order,clean,,matches 1:1 with its payment
ORD4034,order,clean,,matches 1:1 with its payment
ORD4035,order,clean,,matches 1:1 with its payment
ORD4036,order,partial_refund,,partial refund of 375.00 against 750.00
ORD4037,order,clean,,matches 1:1 with its payment
ORD4038,order,fee_mismatch,pay_000039,gateway fee exceeds rule for upi by 5.00
ORD4039,order,clean,,matches 1:1 with its payment
ORD4040,order,refund,pay_000041,full refund; net settlement contribution is negative
ORD4041,order,chargeback,,"chargeback reverses the sale in a LATER settlement period, plus a penalty fee"
ORD4042,order,clean,,matches 1:1 with its payment
ORD4043,order,refund,pay_000044,full refund; net settlement contribution is negative
ORD4044,order,clean,,matches 1:1 with its payment
ORD4045,order,fee_mismatch,pay_000046,gateway fee exceeds rule for upi by 5.00
ORD4046,order,missing_payment,,REAL BREAK: order marked paid but no gateway record exists
ORD4047,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
ORD4048,order,clean,,matches 1:1 with its payment
ORD4049,order,clean,,matches 1:1 with its payment
ORD4050,order,clean,,matches 1:1 with its payment
ORD4051,order,clean,,matches 1:1 with its payment
ORD4052,order,failed_payment,pay_000053,payment attempt failed; no bank credit will ever exist
ORD4053,order,clean,,matches 1:1 with its payment
ORD4054,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
ORD4055,order,rounding_noise,pay_000056,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4056,order,clean,,matches 1:1 with its payment
ORD4057,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4058,order,clean,,matches 1:1 with its payment
ORD4059,order,clean,,matches 1:1 with its payment
ORD4060,order,clean,,matches 1:1 with its payment
ORD4061,order,partial_refund,,partial refund of 449.00 against 899.00
ORD4062,order,clean,,matches 1:1 with its payment
ORD4063,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
ORD4064,order,clean,,matches 1:1 with its payment
ORD4065,order,refund,pay_000066,full refund; net settlement contribution is negative
ORD4066,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4067,order,rounding_noise,pay_000068,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4068,order,rounding_noise,pay_000069,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4069,order,clean,,matches 1:1 with its payment
ORD4070,order,missing_payment,,REAL BREAK: order marked paid but no gateway record exists
