entity_id,entity_type,expected_classification,expected_match_target,notes
BNK000004,bank_row,messy_narration,setl_0003,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000005,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000009,bank_row,messy_narration,setl_0007,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000012,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000015,bank_row,messy_narration,setl_0012,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
GAP_BEFORE_BNK000002,statement_gap,missing_bank_row,setl_0000,settlement paid but its statement line is absent; detectable only from the running balance gap
ORD4000,order,rounding_noise,pay_000001,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4001,order,failed_payment,pay_000002,payment attempt failed; no bank credit will ever exist
ORD4002,order,missing_payment,,REAL BREAK: order marked paid but no gateway record exists
ORD4003,order,fee_mismatch,pay_000004,gateway fee exceeds rule for card by 1.50
ORD4004,order,chargeback,,"chargeback reverses the sale in a LATER settlement period, plus a penalty fee"
ORD4005,order,fee_mismatch,pay_000006,gateway fee exceeds rule for upi by 1.50
ORD4006,order,clean,,matches 1:1 with its payment
ORD4007,order,refund,pay_000008,full refund; net settlement contribution is negative
ORD4008,order,clean,,matches 1:1 with its payment
ORD4009,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4010,order,clean,,matches 1:1 with its payment
ORD4011,order,clean,,matches 1:1 with its payment
ORD4012,order,clean,,matches 1:1 with its payment
ORD4013,order,chargeback,,"chargeback reverses the sale in a LATER settlement period, plus a penalty fee"
ORD4014,order,clean,,matches 1:1 with its payment
ORD4015,order,missing_payment,,REAL BREAK: order marked paid but no gateway record exists
ORD4016,order,clean,,matches 1:1 with its payment
ORD4017,order,fee_mismatch,pay_000018,gateway fee exceeds rule for upi by 2.25
ORD4018,order,failed_payment,pay_000019,payment attempt failed; no bank credit will ever exist
ORD4019,order,refund,pay_000020,full refund; net settlement contribution is negative
ORD4020,order,clean,,matches 1:1 with its payment
ORD4021,order,chargeback,,"chargeback reverses the sale in a LATER settlement period, plus a penalty fee"
ORD4022,order,partial_refund,,partial refund of 174.00 against 349.50
ORD4023,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4024,order,clean,,matches 1:1 with its payment
ORD4025,order,clean,,matches 1:1 with its payment
ORD4026,order,partial_refund,,partial refund of 124.00 against 249.00
ORD4027,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4028,order,clean,,matches 1:1 with its payment
ORD4029,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
ORD4030,order,clean,,matches 1:1 with its payment
ORD4031,order,partial_refund,,partial refund of 375.00 against 750.00
ORD4032,order,failed_payment,pay_000033,payment attempt failed; no bank credit will ever exist
ORD4033,order,clean,,matches 1:1 with its payment
ORD4034,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4035,order,clean,,matches 1:1 with its payment
ORD4036,order,clean,,matches 1:1 with its payment
ORD4037,order,rounding_noise,pay_000038,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4038,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4039,order,failed_payment,pay_000040,payment attempt failed; no bank credit will ever exist
ORD4040,order,partial_refund,,partial refund of 174.00 against 349.00
ORD4041,order,refund,pay_000042,full refund; net settlement contribution is negative
ORD4042,order,rounding_noise,pay_000043,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4043,order,refund,pay_000044,full refund; net settlement contribution is negative
ORD4044,order,fee_mismatch,pay_000045,gateway fee exceeds rule for upi by 1.50
ORD4045,order,clean,,matches 1:1 with its payment
ORD4046,order,clean,,matches 1:1 with its payment
ORD4047,order,clean,,matches 1:1 with its payment
ORD4048,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
ORD4049,order,clean,,matches 1:1 with its payment
ORD4050,order,clean,,matches 1:1 with its payment
ORD4051,order,fee_mismatch,pay_000052,gateway fee exceeds rule for upi by 2.25
ORD4052,order,rounding_noise,pay_000053,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4053,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4054,order,clean,,matches 1:1 with its payment
ORD4055,order,clean,,matches 1:1 with its payment
ORD4056,order,refund,pay_000057,full refund; net settlement contribution is negative
ORD4057,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
ORD4058,order,refund,pay_000059,full refund; net settlement contribution is negative
ORD4059,order,failed_payment,pay_000060,payment attempt failed; no bank credit will ever exist
pay_000012,txn,net_arithmetic_error,ORD4011,gross - fee - gst != net; the gateway's own row is internally inconsistent
pay_000056,txn,net_arithmetic_error,ORD4055,gross - fee - gst != net; the gateway's own row is internally inconsistent
