entity_id,entity_type,expected_classification,expected_match_target,notes
BNK000002,bank_row,messy_narration,setl_0001,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000004,bank_row,messy_narration,setl_0003,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000005,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000006,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000007,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000012,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000013,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000014,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000016,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000018,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000019,bank_row,messy_narration,setl_0010,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000028,bank_row,messy_narration,setl_0019,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
GAP_BEFORE_BNK000002,statement_gap,missing_bank_row,setl_0000,settlement paid but its statement line is absent; detectable only from the running balance gap
GAP_BEFORE_BNK000004,statement_gap,missing_bank_row,setl_0002,settlement paid but its statement line is absent; detectable only from the running balance gap
GAP_BEFORE_BNK000009,statement_gap,missing_bank_row,setl_0004,settlement paid but its statement line is absent; detectable only from the running balance gap
GAP_BEFORE_BNK000025,statement_gap,missing_bank_row,setl_0015,settlement paid but its statement line is absent; detectable only from the running balance gap
ORD4000,order,fee_mismatch,pay_000001,gateway fee exceeds rule for netbanking by 1.50
ORD4001,order,chargeback,,"chargeback reverses the sale in a LATER settlement period, plus a penalty fee"
ORD4002,order,refund,pay_000003,full refund; net settlement contribution is negative
ORD4003,order,refund,pay_000004,full refund; net settlement contribution is negative
ORD4004,order,fee_mismatch,pay_000005,gateway fee exceeds rule for netbanking by 1.50
ORD4005,order,rounding_noise,pay_000006,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4006,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
ORD4007,order,rounding_noise,pay_000008,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4008,order,failed_payment,pay_000009,payment attempt failed; no bank credit will ever exist
ORD4009,order,fee_mismatch,pay_000010,gateway fee exceeds rule for wallet by 5.00
ORD4010,order,chargeback,,"chargeback reverses the sale in a LATER settlement period, plus a penalty fee"
ORD4011,order,rounding_noise,pay_000012,"1 paise fee drift from a different rounding rule; must be tolerated, not reported"
ORD4012,order,chargeback,,"chargeback reverses the sale in a LATER settlement period, plus a penalty fee"
ORD4013,order,duplicate,,two captures exist for one order; the voided one must be excluded from settlement
